가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
초등	ㅊㅗㄷㅡㅇ	단계가 있는 데서 맨 처음 등급. 또는 맨 아래 등급.
초래	ㅊㅗㄹㅏㅣ	어떤 결과를 가져오게 함.
초례	ㅊㅗㄹㅕㅣ	전통적으로 치르는 결혼식.
초록	ㅊㅗㄹㅗㄱ	글이나 책에서 필요한 부분만을 뽑아서 적음. 또는 그런 기록.
초롱	ㅊㅗㄹㅗㅇ	옛날에 촛불이나 등잔불을 넣어 달아 두거나 들고 다니던 등.
초막	ㅊㅗㅁㅏㄱ	풀이나 짚으로 지붕 위를 덮어 조그마하게 지은 집.
초면	ㅊㅗㅁㅕㄴ	처음으로 대하는 얼굴. 또는 처음 만나는 형편.
초목	ㅊㅗㅁㅗㄱ	풀과 나무.
초반	ㅊㅗㅂㅏㄴ	어떤 일이나 일정한 기간의 처음 단계.
초밥	ㅊㅗㅂㅏㅂ	식초와 소금으로 간을 하여 작게 뭉친 흰밥에 생선을 얹거나 김, 유부 등으로 싸서 만든 일본 음식.
초벌	ㅊㅗㅂㅓㄹ	같은 일을 이어서 여러 차례 할 때에 맨 처음 대강 하여 낸 차례.
초범	ㅊㅗㅂㅓㅁ	처음으로 죄를 지음. 또는 그런 사람.
초병	ㅊㅗㅂㅕㅇ	초소를 지키며 경계와 감시를 하는 병사.
초복	ㅊㅗㅂㅗㄱ	음력 6월에서 7월에 있는 삼복 가운데 첫 번째 날. 이날은 더위를 이기기 위해 계곡을 찾아 물놀이를 즐기거나 보신탕 또는 삼계탕을 먹는다.
초본	ㅊㅗㅂㅗㄴ	원본에서 필요한 부분만 뽑아내어 베낀 문서.
초봄	ㅊㅗㅂㅗㅁ	이른 봄.
초빙	ㅊㅗㅂㅣㅇ	정식으로 예를 갖추어 불러들임.
초산	ㅊㅗㅅㅏㄴ	사람이나 동물이 처음으로 아이나 새끼를 낳음.
초상	ㅊㅗㅅㅏㅇ	사람이 죽어서 장례를 치를 때까지의 일.
초석	ㅊㅗㅅㅓㄱ	기둥의 밑에 기초로 받쳐 놓은 돌.
초선	ㅊㅗㅅㅓㄴ	처음이나 첫 번째로 뽑힘. 또는 처음이나 첫 번째로 뽑음.
초성	ㅊㅗㅅㅓㅇ	음절의 구성에서 처음 소리인 자음.
초속	ㅊㅗㅅㅗㄱ	일 초를 기준으로 잰 속도.
초순	ㅊㅗㅅㅜㄴ	한 달 가운데 1일부터 10일까지의 기간.
초식	ㅊㅗㅅㅣㄱ	주로 풀이나 채소, 나물만 먹고 삶. 또는 그 풀이나 채소, 나물.
초심	ㅊㅗㅅㅣㅁ	처음에 먹은 마음.
초안	ㅊㅗㅇㅏㄴ	원고나 문서 등을 처음 대강 적음. 또는 그 원고나 문서.
초연	ㅊㅗㅇㅕㄴ	연극이나 무용 등의 공연을 처음으로 무대에 올려 관객에게 보임. 또는 그 공연.
초엽	ㅊㅗㅇㅕㅂ	한 시대를 처음, 가운데, 끝의 세 부분으로 나눌 때 그 처음 부분.
초인	ㅊㅗㅇㅣㄴ	사람이라고 생각할 수 없을 만큼 아주 뛰어난 능력을 가진 사람.
초임	ㅊㅗㅇㅣㅁ	처음으로 어떤 직위나 직무를 맡음. 또는 그 직위나 직무.
초입	ㅊㅗㅇㅣㅂ	문이나 길 등에 들어가는 입구 주변.
초장	ㅊㅗㅈㅏㅇ	장이 서기 시작한 무렵. 또는 막 서기 시작한 장.
초점	ㅊㅗㅈㅓㅁ	사람들의 관심이 집중되는 대상이나 문제점.
초정	ㅊㅗㅈㅓㅇ	새로 자리에 오른 임금이나 새로 근무지에 도착한 지방의 관리가 일을 시작하던 일.
초진	ㅊㅗㅈㅣㄴ	처음으로 진찰을 함. 또는 그 진찰.
초청	ㅊㅗㅊㅓㅇ	어떤 사람을 손님으로 부름.
초침	ㅊㅗㅊㅣㅁ	시계에서 초를 가리키는 바늘.
초탈	ㅊㅗㅌㅏㄹ	이 세상의 평범한 것이나 능력의 한계를 벗어남.
초판	ㅊㅗㅍㅏㄴ	어떤 일이나 운동 경기 등에서 처음의 시기나 상황.
초혼	ㅊㅗㅎㅗㄴ	처음으로 하는 결혼.
촉구	ㅊㅗㄱㄱㅜ	어떤 일을 급하게 빨리하도록 청함.
촉수	ㅊㅗㄱㅅㅜ	빛의 밝기나 세기의 정도를 나타내는 수.
촌가	ㅊㅗㄴㄱㅏ	시골 마을에 있는 집.
촌로	ㅊㅗㄴㄹㅗ	시골에 사는 나이 많은 사람.
촌부	ㅊㅗㄴㅂㅜ	시골에 사는 남자.
촌수	ㅊㅗㄴㅅㅜ	친척 사이의 멀고 가까운 정도를 나타내는 수. 또는 그런 관계.
촌지	ㅊㅗㄴㅈㅣ	주로 선생님이나 기자, 공무원 등에게 정성을 드러내기 위해 몰래 주는 돈.
촌티	ㅊㅗㄴㅌㅣ	세련되지 못하고 어수룩한 모습이나 태도.
총구	ㅊㅗㅇㄱㅜ	총에서 총알이 나가는 구멍.
총기	ㅊㅗㅇㄱㅣ	권총, 기관총, 소총, 엽총 등의 무기.
총리	ㅊㅗㅇㄹㅣ	대통령을 보좌하고 국가적인 사무를 총괄하는, 장관들의 우두머리가 되는 공무원.
총무	ㅊㅗㅇㅁㅜ	어떤 기관이나 단체의 전체적이며 일반적인 사무. 또는 그 사무를 맡아보는 사람.
총서	ㅊㅗㅇㅅㅓ	일정한 제목, 형식으로 계속해서 출판되어 한 묶음을 이루는 책들.
총수	ㅊㅗㅇㅅㅜ	전체의 수량을 나타낸 수.
총아	ㅊㅗㅇㅇㅏ	특별히 많은 사랑을 받는 사람.
최고	ㅊㅗㅣㄱㅗ	가장 오래됨.
최다	ㅊㅗㅣㄷㅏ	수나 양 등이 가장 많음.
최소	ㅊㅗㅣㅅㅗ	수나 정도가 가장 작거나 낮음.
최저	ㅊㅗㅣㅈㅓ	정도나 수준이 가장 낮음.
최초	ㅊㅗㅣㅊㅗ	맨 처음.
최하	ㅊㅗㅣㅎㅏ	수준이나 등급 등의 맨 아래.
최후	ㅊㅗㅣㅎㅜ	맨 마지막.
추격	ㅊㅜㄱㅕㄱ	앞선 쪽을 잡거나 넘어서려고 공격적으로 뒤쫓아 감.
추계	ㅊㅜㄱㅕㅣ	계절이 가을인 때.
추곡	ㅊㅜㄱㅗㄱ	가을에 거두는 곡식.
추궁	ㅊㅜㄱㅜㅇ	잘못한 일을 샅샅이 따져서 밝힘.
추남	ㅊㅜㄴㅏㅁ	얼굴이 못생긴 남자.
추념	ㅊㅜㄴㅕㅁ	지난 일을 생각함.
추대	ㅊㅜㄷㅏㅣ	윗사람으로 떠받듦.
추돌	ㅊㅜㄷㅗㄹ	자동차나 기차가 뒤에서 들이받음.
추락	ㅊㅜㄹㅏㄱ	높은 곳에서 떨어짐.
추렴	ㅊㅜㄹㅕㅁ	모임이나 놀이, 잔치 등의 비용으로 여러 사람에게 얼마씩의 돈을 거둠.
추론	ㅊㅜㄹㅗㄴ	미루어 생각하여 옳고 그름을 따짐.
추문	ㅊㅜㅁㅜㄴ	지저분하고 잡스러운 소문.
추방	ㅊㅜㅂㅏㅇ	해가 된다고 여겨 일정한 조직이나 지역 또는 나라 밖으로 쫓아냄.
추분	ㅊㅜㅂㅜㄴ	낮과 밤의 길이가 같다는 가을날로 이십사절기의 하나. 9월 23일경이다.
추산	ㅊㅜㅅㅏㄴ	짐작으로 미루어 계산함.
추상	ㅊㅜㅅㅏㅇ	여러 가지 사물이나 개념에서 공통되는 특성이나 속성 등을 뽑아내어 파악하는 것.
추석	ㅊㅜㅅㅓㄱ	한국의 명절의 하나. 음력 8월 15일로 햅쌀로 빚은 송편과 햇과일 등의 음식을 장만하여 차례를 지낸다. 또한 씨름, 줄다리기, 강강술래 등의 민속놀이를 즐긴다.
추세	ㅊㅜㅅㅓㅣ	어떤 일이나 현상이 일정한 방향으로 나아가는 경향.
추신	ㅊㅜㅅㅣㄴ	다 쓴 편지글 아래에 덧붙여 쓰는 말.
추악	ㅊㅜㅇㅏㄱ	더럽고 악함.
추앙	ㅊㅜㅇㅏㅇ	높이 받들어 존경함.
추억	ㅊㅜㅇㅓㄱ	지나간 일을 생각함. 또는 그런 생각이나 일.
추위	ㅊㅜㅇㅜㅣ	주로 겨울철의 추운 기운이나 추운 날씨.
추장	ㅊㅜㅈㅏㅇ	원시 사회에서 부족이나 마을을 이끌고 책임지는 사람.
추적	ㅊㅜㅈㅓㄱ	도망하는 사람을 따라가며 쫓음.
추정	ㅊㅜㅈㅓㅇ	미루어 생각하여 판단하고 정함.
추종	ㅊㅜㅈㅗㅇ	남의 뒤를 따라감.
추진	ㅊㅜㅈㅣㄴ	물체를 밀어 앞으로 나아가게 함.
추징	ㅊㅜㅈㅣㅇ	부족한 것을 나중에 더 거둠.
추천	ㅊㅜㅊㅓㄴ	어떤 조건에 알맞은 사람이나 물건을 책임지고 소개함.
추첨	ㅊㅜㅊㅓㅁ	제비를 뽑음.
추출	ㅊㅜㅊㅜㄹ	전체를 이루는 것 가운데 어떤 요소나 대상을 뽑아냄.
추측	ㅊㅜㅊㅡㄱ	어떤 사실이나 보이는 것을 통해서 다른 무엇을 미루어 짐작함.
추태	ㅊㅜㅌㅏㅣ	더럽고 지저분한 태도나 행동.
축가	ㅊㅜㄱㄱㅏ	축하하기 위해 부르는 노래.
축구	ㅊㅜㄱㄱㅜ	(낮잡아 이르는 말로) 바보 같은 짓을 하는 사람.
축도	ㅊㅜㄱㄷㅗ	기독교에서, 예배를 마칠 때 목사가 다른 사람을 위해 하나님께 복을 비는 기도.
축사	ㅊㅜㄱㅅㅏ	가축을 안에 두고 기르는 건물.
축소	ㅊㅜㄱㅅㅗ	수량, 부피, 규모 등을 줄여서 작게 함.
축수	ㅊㅜㄱㅅㅜ	오래 살게 해 달라고 빎.
축조	ㅊㅜㄱㅈㅗ	돌이나 흙 등을 쌓아 집이나 건물, 성 등을 만듦.
축포	ㅊㅜㄱㅍㅗ	축하하기 위해 소리만 나도록 쏘는 총이나 대포.
축하	ㅊㅜㄱㅎㅏ	남의 좋은 일에 대하여 기쁜 마음으로 인사함. 또는 그런 인사.
춘추	ㅊㅜㄴㅊㅜ	봄과 가을.
출가	ㅊㅜㄹㄱㅏ	집을 떠남.
출고	ㅊㅜㄹㄱㅗ	창고에서 물품을 꺼냄.
출구	ㅊㅜㄹㄱㅜ	밖으로 나갈 수 있는 문이나 통로.
출두	ㅊㅜㄹㄷㅜ	조사 등을 받기 위해 경찰서나 법원 등에 직접 나감.
출마	ㅊㅜㄹㅁㅏ	선거에 나감.
출소	ㅊㅜㄹㅅㅗ	형벌을 받는 기간을 마치고 교도소에서 석방되어 나옴.
출시	ㅊㅜㄹㅅㅣ	상품이 시중에 나옴. 또는 상품을 시중에 내보냄.
출어	ㅊㅜㄹㅇㅓ	고기잡이배가 물고기를 잡으러 나감.
출자	ㅊㅜㄹㅈㅏ	사업 등에 필요한 돈을 내는 일.
출처	ㅊㅜㄹㅊㅓ	말이나 사물이 생기거나 나온 곳.
출타	ㅊㅜㄹㅌㅏ	집에 있지 않고 다른 곳으로 나감.
출토	ㅊㅜㄹㅌㅗ	땅속에 묻혀 있던 오래된 물건이 밖으로 나옴. 또는 그것을 파냄.
출하	ㅊㅜㄹㅎㅏ	짐이나 상품 등을 내보냄.
충고	ㅊㅜㅇㄱㅗ	남의 허물이나 잘못을 진심으로 타이름. 또는 그런 말.
충치	ㅊㅜㅇㅊㅣ	세균이 갉아 먹어 이가 상하는 병. 또는 그 이.
충효	ㅊㅜㅇㅎㅛ	나라에 대한 충성과 부모에 대한 효도.
취기	ㅊㅜㅣㄱㅣ	비위를 상하게 하는 좋지 않은 냄새.
취미	ㅊㅜㅣㅁㅣ	좋아하여 재미로 즐겨서 하는 일.
취사	ㅊㅜㅣㅅㅏ	쓸 만한 것은 쓰고 버릴 것은 버림.
취소	ㅊㅜㅣㅅㅗ	이미 발표한 것을 거두어들이거나 약속한 것 또는 예정된 일을 없앰.
취조	ㅊㅜㅣㅈㅗ	범죄 사실을 밝히기 위해 범행이 의심되는 사람이나 죄인을 조사함.
취지	ㅊㅜㅣㅈㅣ	어떤 일의 근본이 되는 목적이나 매우 중요한 뜻.
취하	ㅊㅜㅣㅎㅏ	신청했던 일이나 서류 등을 취소함.
층수	ㅊㅡㅇㅅㅜ	층의 개수.
치골	ㅊㅣㄱㅗㄹ	몸통과 다리를 연결하는 한 쌍의 큰 뼈의 앞과 아래쪽을 이루는 부분.
치과	ㅊㅣㄱㅗㅏ	이와 더불어 잇몸 등의 지지 조직, 구강 등의 질병을 치료하는 의학 분야. 또는 그 분야의 병원.
치매	ㅊㅣㅁㅏㅣ	주로 노인에게 나타나며, 뇌세포가 손상되어 지능, 의지, 기억 등이 사라지는 병.
치석	ㅊㅣㅅㅓㄱ	이의 겉면에 엉겨 붙어서 굳은 물질.
치실	ㅊㅣㅅㅣㄹ	이 사이에 낀 찌꺼기를 빼내는 데 쓰는 실.
치안	ㅊㅣㅇㅏㄴ	사회의 안전과 질서를 유지함.
치약	ㅊㅣㅇㅑㄱ	이를 닦는 데 쓰는 약.
치열	ㅊㅣㅇㅕㄹ	이가 줄지어 박혀 있는 모양.
치욕	ㅊㅣㅇㅛㄱ	욕되고 창피스러움.
치읓	ㅊㅣㅇㅡㅊ	한글 자모 ‘ㅊ’의 이름.
치장	ㅊㅣㅈㅏㅇ	잘 매만져 곱게 꾸밈.
치적	ㅊㅣㅈㅓㄱ	잘 다스리거나 정치를 잘해서 쌓은 업적.
치정	ㅊㅣㅈㅓㅇ	남녀 간의 사랑으로 생기는 여러 가지 어지러운 정.
치중	ㅊㅣㅈㅜㅇ	어떠한 것을 특히 중요하게 여김.
치질	ㅊㅣㅈㅣㄹ	항문 안이나 바깥에 생기는 질병.
치킨	ㅊㅣㅋㅣㄴ	토막을 낸 닭에 밀가루 등을 묻혀 기름에 튀기거나 구운 음식.
치통	ㅊㅣㅌㅗㅇ	이가 쑤시거나 몹시 아픈 것.
치한	ㅊㅣㅎㅏㄴ	여자에게 성적으로 치근대거나 나쁜 짓을 하며 괴롭히는 남자.
친가	ㅊㅣㄴㄱㅏ	아버지 쪽 집안.
친교	ㅊㅣㄴㄱㅛ	친하고 가깝게 사귐. 또는 그렇게 사귄 정.
친구	ㅊㅣㄴㄱㅜ	사이가 가까워 서로 친하게 지내는 사람.
친모	ㅊㅣㄴㅁㅗ	자기를 낳아 준 어머니.
친부	ㅊㅣㄴㅂㅜ	자기를 낳아 준 아버지.
친서	ㅊㅣㄴㅅㅓ	직접 쓴 편지.
친자	ㅊㅣㄴㅈㅏ	자기가 낳은 자식.
친지	ㅊㅣㄴㅈㅣ	서로 친하여 가깝게 지내는 사람.
칠기	ㅊㅣㄹㄱㅣ	옻나무에서 나는 검붉은 진을 칠해 윤이 나게 한 그릇이나 물건.
침구	ㅊㅣㅁㄱㅜ	이부자리나 베개 등과 같이 잠을 잘 때 쓰는 것.
침수	ㅊㅣㅁㅅㅜ	물에 잠김.
침투	ㅊㅣㅁㅌㅜ	물이나 비 등의 액체가 스며들어 뱀.
칩거	ㅊㅣㅂㄱㅓ	밖에 나가서 활동하지 않고 집 안에만 틀어박혀 있음.
칭호	ㅊㅣㅇㅎㅗ	어떠한 뜻으로 부르거나 말하는 이름.
카레	ㅋㅏㄹㅓㅣ	강황, 생강, 후추, 마늘 등을 섞어 만든 노란 빛깔의 향신료.
카페	ㅋㅏㅍㅓㅣ	주로 커피와 차, 가벼운 간식거리 등을 파는 가게.
카폰	ㅋㅏㅍㅗㄴ	자동차 안에 설치하여 운전 중에도 통화할 수 있는 무선 전화.
칼라	ㅋㅏㄹㄹㅏ	양복이나 셔츠 등의 목둘레에 길게 덧붙여진 천.
커닝	ㅋㅓㄴㅣㅇ	시험을 볼 때, 미리 준비해 온 답이나 남의 답안지를 몰래 보고 답을 쓰는 일.
커튼	ㅋㅓㅌㅡㄴ	창이나 문을 가릴 수 있도록 그 위에 매달아 길게 늘어뜨린 천.
커플	ㅋㅓㅍㅡㄹ	짝이 되는 남녀 한 쌍.
컬러	ㅋㅓㄹㄹㅓ	분명한 빛깔.
케냐	ㅋㅓㅣㄴㅑ	아프리카 동부 적도 아래에 있는 나라. 세계 야생 동물의 보고로 야생 동물 보호 지구가 있으며 주로 커피 등의 농업이나 관광 산업이 발달해 있다. 주요 언어는 영어와 스와힐리어이고 수도는 나이로비이다.
코냑	ㅋㅗㄴㅑㄱ	포도주를 증류하여 만든 고급 술.
코란	ㅋㅗㄹㅏㄴ	이슬람교의 이치와 가르침을 적은 책.
코밑	ㅋㅗㅁㅣㅌ	코의 아랫부분이란 뜻으로, 아주 가까운 곳.
코뼈	ㅋㅗㅂㅂㅕ	콧등의 윗부분을 이루는 얇고 길쭉한 한 쌍의 뼈.
코앞	ㅋㅗㅇㅏㅍ	코의 바로 앞이란 뜻으로, 아주 가까운 곳.
코털	ㅋㅗㅌㅓㄹ	콧구멍 속에 난 털.
코팅	ㅋㅗㅌㅣㅇ	물체의 겉면을 엷은 막으로 입히는 일.
콘도	ㅋㅗㄴㄷㅗ	객실에 취사 도구를 비롯한 기본적인 살림살이를 갖추고 있으며, 객실 단위로 분양하여 운영하는 형태의 호텔.
콜라	ㅋㅗㄹㄹㅏ	맛이 달고 독특한 향이 나는 검은색의 탄산음료.
콤비	ㅋㅗㅁㅂㅣ	어떤 일을 하기 위해 두 사람이 짝을 이루는 것. 또는 그 두 사람.
콩트	ㅋㅗㅇㅌㅡ	단편 소설보다도 더 짧고 재치 있게 쓴 소설.
쿠션	ㅋㅜㅅㅕㄴ	앉을 자리에 솜이나 용수철 등을 넣어 편하게 앉도록 만든 것.
쿠폰	ㅋㅜㅍㅗㄴ	한 장씩 떼어 돈처럼 사용하는 표.
쿼터	ㅋㅜㅓㅌㅓ	어떤 것을 여럿이 나누어 가질 때 각자 가지게 되는 부분.
퀴즈	ㅋㅜㅣㅈㅡ	질문에 대한 답을 알아맞히는 놀이. 또는 그 질문.
크림	ㅋㅡㄹㅣㅁ	버터, 아이스크림 등의 원료나 조리에 사용하는, 우유에서 얻는 하얀 기름.
큰비	ㅋㅡㄴㅂㅣ	오랫동안 많이 쏟아지는 비.
키위	ㅋㅣㅇㅜㅣ	달걀 모양에 갈색 털이 덮여 있으며, 속 한가운데 부분은 옅은 노란색이고 그 둘레는 옅은 녹색이며 깨알 같은 씨가 박혀 있는 과일.
키읔	ㅋㅣㅇㅡㅋ	한글 자모 ‘ㅋ’의 이름.
타개	ㅌㅏㄱㅏㅣ	어려운 일을 잘 처리하여 해결의 길을 엶.
타격	ㅌㅏㄱㅕㄱ	때려 침.
타결	ㅌㅏㄱㅕㄹ	의견이 서로 다른 사람이나 단체가 서로 양보하여 일을 끝맺음.
타계	ㅌㅏㄱㅕㅣ	다른 세계.
타국	ㅌㅏㄱㅜㄱ	자기 나라가 아닌 다른 나라.
타락	ㅌㅏㄹㅏㄱ	올바른 길에서 벗어나 나쁜 길로 빠짐.
타래	ㅌㅏㄹㅏㅣ	동그랗게 감아서 뭉쳐 놓은 실이나 노끈 등의 뭉치.
타령	ㅌㅏㄹㅕㅇ	어떤 말이나 소리를 자꾸 되풀이하는 일.
타박	ㅌㅏㅂㅏㄱ	다른 사람의 실수나 결함을 나무라거나 핀잔함.
타살	ㅌㅏㅅㅏㄹ	남을 죽임.
타석	ㅌㅏㅅㅓㄱ	야구에서, 투수가 던지는 공을 타자가 치도록 정해 놓은 구역.
타선	ㅌㅏㅅㅓㄴ	야구에서, 공을 치는 능력 면에서 본 타자들의 구성.
타성	ㅌㅏㅅㅓㅇ	오랫동안 변화가 없어 버릇처럼 굳어진 행동이나 습성.
타워	ㅌㅏㅇㅜㅓ	탑처럼 뾰족하고 높게 만든 건축물.
타율	ㅌㅏㅇㅠㄹ	자신의 의지와 상관없이 정해진 규칙이나 다른 사람의 명령에 따라 행동하는 일.
타의	ㅌㅏㅇㅡㅣ	다른 생각이나 마음.
타인	ㅌㅏㅇㅣㄴ	다른 사람.
타일	ㅌㅏㅇㅣㄹ	바닥이나 벽에 붙이는, 점토를 구워서 만든 작은 도자기 판.
타임	ㅌㅏㅇㅣㅁ	수영이나 육상 등에서, 정한 거리를 가는 데에 걸리는 시간.
타입	ㅌㅏㅇㅣㅂ	성질이나 특징, 모양 등이 비슷한 것끼리 묶은 하나의 무리. 또는 그 무리에 속하는 것.
타작	ㅌㅏㅈㅏㄱ	곡식을 떨어서 낟알을 거두는 일.
타점	ㅌㅏㅈㅓㅁ	야구에서, 타자가 안타 등을 쳐서 얻은 점수.
타종	ㅌㅏㅈㅗㅇ	종을 치거나 때림.
타향	ㅌㅏㅎㅑㅇ	자기 고향이 아닌 다른 고장.
타협	ㅌㅏㅎㅕㅂ	어떤 일을 서로 양보하여 의논함.
탁구	ㅌㅏㄱㄱㅜ	네모난 테이블 가운데에 네트를 세우고, 공을 라켓으로 쳐서 넘기고 받는 실내 경기.
탁류	ㅌㅏㄱㄹㅠ	흘러가는 흐린 물.
탁아	ㅌㅏㄱㅇㅏ	보호자 대신 어린아이를 맡아 돌보는 일.
탁자	ㅌㅏㄱㅈㅏ	떠받치는 다리가 있고 위가 평평해서 물건을 올려놓을 수 있는 책상 모양의 가구.
탁주	ㅌㅏㄱㅈㅜ	맛이 약간 텁텁하며 쌀로 만든 한국 고유의 하얀색 술.
탄도	ㅌㅏㄴㄷㅗ	쏘아진 탄알이나 미사일이 목표에 이를 때까지 그리는 선.
탄로	ㅌㅏㄴㄹㅗ	숨긴 일을 드러냄.
탄소	ㅌㅏㄴㅅㅗ	숯이나 석탄의 주된 구성 원소.
탄피	ㅌㅏㄴㅍㅣ	탄환이나 포탄의 껍데기.
탈고	ㅌㅏㄹㄱㅗ	원고 쓰기를 마침.
탈구	ㅌㅏㄹㄱㅜ	뼈나 관절이 삐어 제자리에서 벗어남.
탈루	ㅌㅏㄹㄹㅜ	밖으로 빼내 다른 데로 나가게 함.
탈모	ㅌㅏㄹㅁㅗ	털이나 머리카락 등이 빠짐.
탈수	ㅌㅏㄹㅅㅜ	물체 안에 들어 있는 물기를 뺌. 또는 물기가 빠짐.
탈피	ㅌㅏㄹㅍㅣ	어떤 처지나 상태에서 완전히 벗어남.
탐구	ㅌㅏㅁㄱㅜ	학문 등을 깊이 파고들어 연구함.
탐미	ㅌㅏㅁㅁㅣ	아름다움을 지나치게 추구하여 거기에 빠짐.
탐사	ㅌㅏㅁㅅㅏ	알려지지 않은 사물이나 사실을 빠짐없이 조사함.
탐지	ㅌㅏㅁㅈㅣ	드러나지 않은 사실이나 물건을 이리저리 찾아 알아냄.
탕아	ㅌㅏㅇㅇㅏ	술, 여자, 도박 등에 빠져 행실이 좋지 못한 사내.
태고	ㅌㅏㅣㄱㅗ	아주 먼 옛날.
태교	ㅌㅏㅣㄱㅛ	아이를 가진 여자가 태아에게 좋은 영향을 주기 위해 마음을 바르게 하고 말을 조심하는 일.
태기	ㅌㅏㅣㄱㅣ	배 속에 아이를 가진 느낌.
태도	ㅌㅏㅣㄷㅗ	몸을 움직이거나 어떤 일을 대하는 마음이 드러난 자세.
태두	ㅌㅏㅣㄷㅜ	(비유적으로) 어떤 분야에서 가장 권위가 있는 사람.
태아	ㅌㅏㅣㅇㅏ	어머니 배 속에서 자라고 있는 아이.
태자	ㅌㅏㅣㅈㅏ	임금의 자리를 이을 임금의 아들.
태초	ㅌㅏㅣㅊㅗ	하늘과 땅이 생긴 맨 처음.
터널	ㅌㅓㄴㅓㄹ	산, 바다, 강 등의 밑을 뚫어서 기차나 자동차가 지나다닐 수 있게 만든 통로.
터득	ㅌㅓㄷㅡㄱ	깊이 생각하여 스스로 이치를 깨달아 알아냄.
터럭	ㅌㅓㄹㅓㄱ	사람이나 짐승의 몸에 난 길고 굵은 털.
터울	ㅌㅓㅇㅜㄹ	한 어머니가 낳은 자녀들의 나이 차이. 또는 먼저 아이를 낳은 때로부터 다음 아이를 낳은 때까지의 사이.
터전	ㅌㅓㅈㅓㄴ	집터가 되는 땅.
털보	ㅌㅓㄹㅂㅗ	(낮잡아 이르는 말로) 몸에 털이나 수염이 많은 사람.
테너	ㅌㅓㅣㄴㅓ	성악에서 남성의 가장 높은 목소리. 또는 그 목소리로 노래하는 가수.
테러	ㅌㅓㅣㄹㅓ	폭력을 사용하여 상대를 해치거나 공포를 느끼게 하는 행위.
테마	ㅌㅓㅣㅁㅏ	창작이나 논의의 중심 내용이나 주제.
토건	ㅌㅗㄱㅓㄴ	토목과 건축.
토굴	ㅌㅗㄱㅜㄹ	땅을 깊고 길게 파서 굴과 같이 만든 큰 구덩이.
토끼	ㅌㅗㄱㄱㅣ	귀가 길고 뒷다리가 앞다리보다 발달하였으며 꼬리는 짧은 동물.
토담	ㅌㅗㄷㅏㅁ	흙으로 쌓아 만든 담.
토대	ㅌㅗㄷㅏㅣ	건물을 지탱하는, 건물의 제일 밑부분.
토란	ㅌㅗㄹㅏㄴ	높이는 80~120센티미터이고 잎은 두껍고 넓은 방패 모양이며 땅속의 알 모양 줄기를 먹는 식물.
토론	ㅌㅗㄹㅗㄴ	어떤 문제에 대하여 여러 사람이 옳고 그름을 따지며 논의함.
